orf19.xxx	wt_no_dox_no_HS_Rep.A	wt_no_dox_no_HS_Rep.B	wt_no_dox_no_HS_Rep.C	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Rep.A	wt_dox_no_HS_Rep.B	wt_dox_no_HS_Rep.C	wt_dox_no_HS_Mean	wt_dox_10_HS_Rep.A	wt_dox_10_HS_Rep.B	wt_dox_10_HS_Rep.C	wt_dox_10_HS_Mean	wt_dox_30_HS_Rep.A	wt_dox_30_HS_Rep.B	wt_dox_30_HS_Rep.C	wt_dox_30_HS_Mean	wt_dox_60_HS_Rep.A	wt_dox_60_HS_Rep.B	wt_dox_60_HS_Rep.C	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Rep.A	tet90_no_dox_no_HS_Rep.B	tet90_no_dox_no_HS_Rep.C	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Rep.A	tet90_dox_no_HS_Rep.B	tet90_dox_no_HS_Rep.C	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Rep.A	tet90_dox_10_HS_Rep.B	tet90_dox_10_HS_Rep.C	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Rep.A	tet90_dox_30_HS_Rep.B	tet90_dox_30_HS_Rep.C	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Rep.A	tet90_dox_60_HS_Rep.B	tet90_dox_60_HS_Rep.C	tet90_dox_60_HS_Mean
CaalfMp01	2	0	2.584962501	1.874469118	3.459431619	1.584962501	2.321928095	2.662965013	2.584962501	1.584962501	1	1.874469118	1	0	1	0.736965594	6.022367813	5.584962501	2	5.285402219	3.169925001	2.321928095	1.584962501	2.502500341	3	2.321928095	1	2.321928095	0	1	1.584962501	1	0	3.584962501	3.321928095	2.938599455	1.584962501	3	1	2.115477217
CaalfMp02	0	0	0	0	2.321928095	1	0	1.415037499	0	0	0	0	0	0	0	0	2.321928095	3.169925001	0	2.321928095	2	0	0	1	0	1	0	0.415037499	0	0	1	0.415037499	0	1	1	0.736965594	0	2.584962501	0	1.415037499
CaalfMp03	1	0	1.584962501	1	3.169925001	0	1.584962501	2.115477217	1.584962501	1	1	1.222392421	1.584962501	2.321928095	1	1.736965594	4.087462841	4.392317423	1	3.736965594	2.584962501	0	0	1.415037499	2.321928095	0	0	1.222392421	2	1	1	1.415037499	1	2	2.584962501	2	1	3.321928095	0	2.115477217
CaalfMp04	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CaalfMp05	0	0	2.807354922	1.584962501	2.584962501	1	1	1.736965594	2	0	1.584962501	1.415037499	2	1.584962501	1.584962501	1.736965594	6.845490051	5.857980995	0	5.857980995	2.321928095	1	1	1.584962501	1	3	0	1.874469118	0	0	2.321928095	1.222392421	1	3.584962501	3.321928095	3	2	4.247927513	1.584962501	3.115477217
CaalfMp06	2.584962501	0	1	1.584962501	2.584962501	2.584962501	2	2.415037499	2.321928095	1.584962501	0	1.584962501	2	2.321928095	1.584962501	2	4.523561956	4.169925001	0	3.807354922	1	2.321928095	1	1.584962501	2.807354922	1.584962501	1.584962501	2.115477217	1	1	1	1	1	2.321928095	3	2.321928095	1	3.321928095	1	2.222392421
CaalfMp07	0	0	0	0	1	0	1	0.736965594	0	0	0	0	0	0	0	0	1	2.321928095	1	1.584962501	0	0	0	0	0	0	0	0	0	1	0	0.415037499	1	0	0	0.415037499	1	0	0	0.415037499
CaalfMp08	2.321928095	1.584962501	3.459431619	2.662965013	2.584962501	0	0	1.415037499	1	0	1	0.736965594	2.584962501	2.321928095	2	2.321928095	5.857980995	5.906890596	2	5.345774837	1	2	1.584962501	1.584962501	2.321928095	0	1.584962501	1.584962501	2	1.584962501	1	1.584962501	1.584962501	3.807354922	2.807354922	3	2.321928095	4.523561956	2.321928095	3.459431619
CaalfMp08.1	2	0	1.584962501	1.415037499	1.584962501	0	1	1	2	1	2	1.736965594	1	2.321928095	1	1.584962501	3.321928095	4.087462841	1	3.273018494	0	1	0	0.415037499	1	0	1.584962501	1	0	0	0	0	0	1.584962501	0	0.736965594	1	2.584962501	0	1.584962501
CaalfMp08.2	1.584962501	1	1.584962501	1.415037499	1.584962501	0	0	0.736965594	0	0	0	0	1.584962501	0	1	1	1.584962501	4.247927513	0	2.938599455	1.584962501	1	0	1	1	1	0	0.736965594	0	0	1	0.415037499	0	2.321928095	1	1.415037499	0	2.807354922	1	1.736965594
