status_treat2	gene_name
UP	C1_00010W_A
UP	C1_00020C_A
NC	C1_00030C_A
NC	C1_00040W_A
UP	C1_00050C_A
NC	C1_00060W_A
DOWN	C1_00070W_A
NC	C1_00080C_A
NC	C1_00090W_A
NC	C1_00100C_A
UP	C1_00110W_A
NC	C1_00120C_A
NC	C1_00130C_A
NC	C1_00140W_A
NC	C1_00150C_A
DOWN	C1_00160C_A
UP	C1_00170W_A
DOWN	C1_00180W_A
UP	C1_00190C_A
UP	C1_00200C_A
NC	C1_00210C_A
NC	C1_00220W_A
NC	C1_00230C_A
NC	C1_00270W_A
NC	C1_00280C_A
NC	C1_00290W_A
UP	C1_00310W_A
NC	C1_00320W_A
UP	C1_00330C_A
UP	C1_00340W_A
UP	C1_00350C_A
UP	C1_00360W_A
NC	C1_00370W_A
NC	C1_00380C_A
NC	C1_00390W_A
NC	C1_00400W_A
UP	C1_00410C_A
DOWN	C1_00420W_A
NC	C1_00430W_A
NC	C1_00440W_A
NC	C1_00450C_A
NC	C1_00460W_A
NC	C1_00470C_A
NC	C1_00480C_A
UP	C1_00490C_A
NC	C1_00500C_A
NC	C1_00510W_A
NC	C1_00520W_A
NC	C1_00530C_A
UP	C1_00540C_A
UP	C1_00550W_A
UP	C1_00560W_A
UP	C1_00570C_A
NC	C1_00580W_A
NC	C1_00590W_A
UP	C1_00600W_A
NC	C1_00610W_A
UP	C1_00620W_A
NC	C1_00630W_A
UP	C1_00640C_A
NC	C1_00650C_A
NC	C1_00660C_A
UP	C1_00670C_A
NC	C1_00680W_A
NC	C1_00690W_A
NC	C1_00700W_A
NC	C1_00710C_A
NC	C1_00730C_A
NC	C1_00740C_A
UP	C1_00750C_A
UP	C1_00760W_A
DOWN	C1_00770C_A
UP	C1_00780C_A
NC	C1_00790W_A
NC	C1_00800C_A
NC	C1_00810W_A
UP	C1_00820W_A
UP	C1_00830W_A
NC	C1_00840C_A
UP	C1_00850W_A
UP	C1_00860W_A
UP	C1_00870W_A
NC	C1_00880W_A
NC	C1_00890W_A
NC	C1_00900W_A
NC	C1_00910W_A
UP	C1_00920W_A
NC	C1_00930C_A
NC	C1_00940W_A
NC	C1_00950C_A
UP	C1_00960C_A
NC	C1_00970W_A
NC	C1_00980W_A
NC	C1_00990C_A
NC	C1_01000C_A
NC	C1_01010W_A
NC	C1_01030W_A
UP	C1_01040W_A
NC	C1_01050C_A
NC	C1_01060W_A
NC	C1_01070C_A
NC	C1_01080W_A
NC	C1_01090C_A
UP	C1_01100W_A
NC	C1_01110C_A
NC	C1_01130W_A
DOWN	C1_01140C_A
NC	C1_01150C_A
UP	C1_01160C_A
UP	C1_01170C_A
UP	C1_01180C_A
NC	C1_01190C_A
NC	C1_01200W_A
UP	C1_01210W_A
NC	C1_01220C_A
NC	C1_01240W_A
UP	C1_01250W_A
NC	C1_01260C_A
NC	C1_01270W_A
UP	C1_01280C_A
NC	C1_01290C_A
NC	C1_01300W_A
UP	C1_01310W_A
NC	C1_01320W_A
NC	C1_01330C_A
UP	C1_01340C_A
DOWN	C1_01350C_A
DOWN	C1_01360C_A
DOWN	C1_01370C_A
NC	C1_01380C_A
UP	C1_01390C_A
NC	C1_01400C_A
NC	C1_01420C_A
UP	C1_01440C_A
NC	C1_01450W_A
