SC5314	wt_no_dox_no_HS_Mean	wt_dox_no_HS_Mean	wt_dox_10_HS_Mean	wt_dox_30_HS_Mean	wt_dox_60_HS_Mean	tet90_no_dox_no_HS_Mean	tet90_dox_no_HS_Mean	tet90_dox_10_HS_Mean	tet90_dox_30_HS_Mean	tet90_dox_60_HS_Mean
CM_00030W	1.874469118	2.662965013	1.874469118	0.736965594	5.285402219	2.502500341	2.321928095	1	2.938599455	2.115477217
CM_00050W	0	1.415037499	0	0	2.321928095	1	0.415037499	0.415037499	0.736965594	1.415037499
CM_00060W	1	2.115477217	1.222392421	1.736965594	3.736965594	1.415037499	1.222392421	1.415037499	2	2.115477217
CM_00070C	0	0	0	0	0	0	0	0	0	0
CM_00140C	1.584962501	1.736965594	1.415037499	1.736965594	5.857980995	1.584962501	1.874469118	1.222392421	3	3.115477217
CM_00160C	1.584962501	2.415037499	1.584962501	2	3.807354922	1.584962501	2.115477217	1	2.321928095	2.222392421
CM_00170C	0	0.736965594	0	0	1.584962501	0	0	0.415037499	0.415037499	0.415037499
CM_00210W	2.662965013	1.415037499	0.736965594	2.321928095	5.345774837	1.584962501	1.584962501	1.584962501	3	3.459431619
CM_00220W	1.415037499	1	1.736965594	1.584962501	3.273018494	0.415037499	1	0	0.736965594	1.584962501
CM_00230W	1.415037499	0.736965594	0	1	2.938599455	1	0.736965594	0.415037499	1.415037499	1.736965594
CM_00240W	0.736965594	0.415037499	0	1	2.222392421	0.415037499	0.736965594	0.736965594	0.736965594	1.222392421
CM_00250W	0	0	0	1.222392421	1.222392421	0.415037499	0	0.415037499	0.415037499	1
CM_00310W	1.874469118	2.222392421	1	1.415037499	3.544320517	1.415037499	1.584962501	0.415037499	2.662965013	2.415037499
CM_00320W	0	0	0.415037499	0	1.736965594	0	0.415037499	0	0.736965594	1
CM_00330W	2.736965594	2.222392421	2.584962501	2.115477217	4.969626351	1.222392421	1.736965594	2	3.058893689	2.502500341
CM_00340W	2.222392421	2.736965594	2.584962501	1.736965594	1.874469118	2.415037499	2.115477217	2.115477217	1.222392421	1.222392421
CM_00370W	0.736965594	0	0	0	1.736965594	0	1	0	0.415037499	0.736965594
CM_00380W	2.321928095	2.736965594	1.415037499	0.736965594	5.029747344	1	1.415037499	1.222392421	2.584962501	2.938599455
CM_00440W	1.736965594	2.736965594	1.874469118	1	3.169925001	2.222392421	1.736965594	1.736965594	2.584962501	2.222392421
CM_00520W	0	0	0	0	0	0	0	0	0	0
CM_00010W	9.027905997	9.333900736	8.249508549	8.591210649	11.85408918	8.115477217	9.178249866	8.153129759	9.819646897	9.941047606
CM_00360W	7.938599455	7.711953706	6.392317423	7.018663845	11.57191062	6.357552005	7.098032083	6.115477217	8.552028611	8.793332355
CM_00020W	0.415037499	0	0	0	0.415037499	0	0	0	0	0
CM_00040W	0	0	0	0	0	0	0	0	0	0
CM_00080C	0	0	0	0	0	0	0	0	0	0
CM_00090W	0	0	0	0	0	0	0	0	0	0
CM_00100W	0	0	0	0	0	0	0	0	0	0
CM_00110W	0	0	0	0	0	0	0	0	0	0
CM_00120W	0	0	0	0	0	0	0	0	0	0
CM_00130W	0	0	0	0	0	0	0	0	0	0
CM_00150C	0	0	0	0	0	0	0	0	0	0
CM_00180C	0	0	0	0	0	0	0	0	0	0
CM_00190C	0	0	0	0	0	0	0	0	0	0
CM_00200C	0	0	0	0	0	0	0	0	0	0
CM_00260W	0	0	0	0	0	0	0	0	0	0
CM_00270W	0	0	0	0	0	0	0	0	0	0
CM_00280W	0	0	0	0	0	0	0	0	0	0
CM_00290W	0	0	0	0	0	0	0	0	0	0
CM_00300W	0	0	0	0	0	0	0	0	0	0
CM_00350W	1	0.736965594	0	0.415037499	1.222392421	0	0.415037499	0	0	0.415037499
CM_00390W	0	0.415037499	0	0	0	0	0	0	0	0
CM_00400W	0.415037499	0	0	0	0	0	0	0	0	0
CM_00410W	0	0	0	0	0	0	0	0	0	0.415037499
CM_00420W	0	0	0	0	0	0	0	0	0	0
CM_00430W	0	0	0	0	0	0	0	0	0	0
CM_00450W	0	0	0	0	0	0	0	0	0	0
CM_00460C	0	0	0	0	0	0	0	0	0	0
CM_00470C	0	0	0	0	0	0	0	0	0	0
CM_00480C	0	0	0	0	0	0	0	0	0	0
CM_00490C	0	0	0	0	0	0	0	0	0	0
CM_00500C	0	0	0	0	0	0	0	0	0	0
CM_00510W	0	0	0	0	0	0	0	0	0	0
C2_05310C_A	0.415037499	0	1.415037499	2.938599455	1.415037499	0	0.415037499	1.415037499	0.736965594	1.584962501
CR_08780W_A	7.395177077	7.723376529	13.0370321	13.21062062	12.44803024	7.491853096	6.741466986	13.04956497	10.69609817	12.98299357
CR_08800W_A	8.727920455	9.36486421	14.00842862	13.87987038	13.31368612	8.730187062	8.16155182	13.96599466	11.66770293	13.65426308
C6_02400W_A	1.584962501	0	2.321928095	3.841302254	2	1.415037499	0.736965594	3.058893689	1.584962501	3.169925001
C6_00220C_A	1.222392421	0.736965594	1.222392421	2.321928095	0.736965594	0.736965594	1	1.736965594	0	1.415037499
CR_07130C_A	5.029747344	5.101538026	2.415037499	6.464886049	3.736965594	4.64385619	5.745954377	5.044394119	4.841302254	4.544320516
C6_00980C_A	7.400879436	9.026062296	7.235216462	8.783543961	8.132713923	7.813781191	8.716533694	8.118941073	8.251087854	8.77148947
C1_10560C_A	8.389452089	9.208640809	8.395177077	9.500509958	9.091876106	8.520946008	8.869336793	9.572384435	8.309855262	9.1955772670000009
C1_10570C_A	3.938599455	3.36923381	3.624490865	6.285402219	4.459431619	4.544320516	4.736965594	5.058893689	4.564784619	4.790076931
CR_05260C_A	8.873444113	8.722238308	9.136991112	9.587465008	9.912390393	8.701595261	8.335390355	9.729620744	8.814849458	10.13613669
CR_05270W_A	0.415037499	0	2.502500341	3.841302254	1	0	0	2.807354922	0.736965594	1.874469118
CR_05280W_A	0.736965594	1.222392421	2.584962501	5.209453366	2.415037499	1.222392421	0	4.087462841	0.415037499	2.662965013
C6_00990W_A	7.392317423	8.82336724	8.209453366	8.438791853	8.829722735	8.372139541	8.912889336	8.326429487	9.939089418	9.159871337
CR_05290W_A	8.619608643	8.7736887	8.567322341	9.584336195	8.592457037	8.498516827	7.667702931	9.458748363	8.105035471	8.898853276
CR_05300C_A	10.46182047	11.20620039	11.36887018	10.95031288	11.65969864	10.84601267	11.19332001	10.81484946	11.98714556	11.16762722
CR_05310W_A	9.907391444	10.27029533	9.892795766	10.53980504	11.06967353	10.13741813	10.39767463	11.08392248	10.73640193	11.45943162
C6_01000C_A	9.453956489	8.93565618	9.102413183	9.416445694	7.186526969	9.678893519	9.1632303490000009	9.428360173	8.188176706	6.898853276
C1_03830C_A	10.22681355	9.306821202	9.762658868	10.27767486	9.735273944	10.2737956	9.583082768	9.955649908	9.250298418	9.8180495229999991
C1_03840W_A	7.375039431	6.554588852	6.824428435	7.975370334	7.48112669	7.494522283	7.300733873	7.815916935	6.759333407	7.470319935
C1_03820W_A	9.663558104	10.025601	11.32474311	11.09561679	10.81190982	9.816983623	10.39374796	10.76155123	10.60547952	10.36011549
C1_03810C_A	7.653442238	6.984893108	9.259743264	9.761551232	8.790076931	7.684164179	7.007494537	9.678893519	7.79658045	9.54045097
C1_03800W_A	8.198035708	6.732450113	8.69464808	9.645658432	9.342074668	8.136136688	7.209453366	9.431149337	7.403722186	9.881113961
C6_01010W_A	5	5.101538026	5.624490865	6.906890596	4.584962501	5.044394119	4.169925001	6.142957954	4.115477217	4.736965594
C1_03790C_A	13.14715191	12.42827292	11.64910645	11.9097681	9.828665428	12.82064436	10.87779537	11.84117119	9.908892948	10.8465351
C1_03780C_A	12.3459596	11.93098368	12.64363075	12.24069197	11.00351791	12.26980851	11.79075575	12.08159439	11.38658105	10.60022267
C1_03770W_A	9.585588535	9.936147143	10.0260623	10.87446912	10.14465824	9.856425529	9.267567009	10.09319746	9.416445694	10.57206857
C1_03760C_A	11.06339508	11.39909987	10.58808996	10.88518793	10.69145274	11.01935906	11.92629599	11.15924065	11.19824039	10.77451255
C1_03750W_A	9.078595604	11.30301963	10.63269233	9.685332826	9.97441459	9.927284142	10.23999624	9.611024797	11.56763924	10.18073799
C1_03740W_A	9.176588732	8.668884984	9.708509148	9.638435914	9.185701392	8.876516947	8.623271857	8.785724906	8.873444113	9.259743264
C1_03730C_A	10.98441846	11.13399841	10.65045343	11.59882793	11.46284305	10.9403136	11.26756701	11.41468524	10.77341398	11.69653291
C1_03720C_A	8.194756854	8.864186145	7.619608644	8.144658243	7.860052345	8.011227255	8.900866808	8.51701317	8.707359132	7.276124405
C1_04070C_A	7.736965594	7.318919345	7.785724906	9.378656117	8.50779464	7.518325307	7.345774837	8.558420713	7.577428828	8.866248611
C6_01020W_A	6.169925001	6.409390936	6.785724906	7.996238081	6.176588732	6.176588732	5.50250034	7.727920455	5.604862058	6.080373417
C1_04080W_A	7.803054784	7.932706887	7.938599455	8.985841937	9.019590728	8.031586343	7.969626351	8.813781191	8.431845787	9.412922627
C1_04090C_A	8.6558288309999991	8.25895855	9.067882472	9.09978612	9.05075562	8.557144557	8.096275911	8.844444241	8.288481612	9.306821202
C1_04100C_A	14.83928582	14.79002601	14.74616438	15.13951138	14.505274	14.61179329	14.72270082	15.05742771	14.41007588	14.78482226
C1_04110W_A	6.584962501	7.105035471	6.564784619	7.330916878	6.736965595	6.386581053	6.339850003	6.890770931	6	7.321928095
C1_04120C_A	8.48247186	8.141255658	8.684164178	9.871905238	9.004688646	8.460797161	8.23999624	9.524215203	8.235216462	9.59058705
C1_04130W_A	11.96108789	11.01262454	11.23441829	11.10743505	10.22801697	11.77423798	10.32755264	10.95806932	9.793874213	10.55682534
C1_04140W_A	7.022367813	8.215937399	9.758223215	9.414332886	12.64137442	9.006559846	10.96193196	9.172427509	12.20120501	12.10383418
C1_04150C_A	6.763765654	6.886712713	7.146356531	8.159871337	8.653442239	7.022367813	6.862120725	7.770388595	7.372139541	9.157346935
C6_01030W_A	9.311369903	9.51438531	9	10.19064778	10.30454146	9.866763767	10.32642949	9.984418459	9.824428435	9.523561956
C1_04160C_A	7.574908836	7.761551232	7.294620749	8.398031074	8.609794354	7.494522283	7.982993575	7.930737338	7.700439718	8.799821249
C1_04170C_A	14.43967941	14.42127591	13.79336623	10.44983646	12.43827206	14.39155687	13.28207487	11.55170826	13.59525748	12.18972162
C1_04180W_A	14.30772261	14.29519496	14.0382903	11.13613669	12.53422181	14.2317212	13.05336027	11.7703886	13.69079828	11.96578428
