gene_name	Control_Rep.A	Control_Rep.B	Control_Rep.C	Treat1_Rep.A	Treat1_Rep.B	Treat1_Rep.C	Treat2_Rep.A	Treat2_Rep.B	Treat2_Rep.C	Treat3_Rep.A	Treat3_Rep.B	Treat3_Rep.C	Control_Mean	Treat1_Mean	Treat2_Mean	Treat3_Mean	fc_treat1	fc_treat2	fc_treat3
C1_00010W_A	2	1	1	2	7	1	35	28	8	4	1	5	1.333333333	3.333333333	23.66666667	3.333333333	1.321928095	4.14974712	1.321928095
C1_00020C_A	803.9999999	638.0000001	690.9999998	568.9999999	638.0000001	469.0000002	1891.999996	2109.999995	1518.000005	1154.000001	869.0000001	1093.999998	711.0000002	558.6666667	1839.999999	1039.000001	-0.347861817	1.3717843	0.54727419
C1_00030C_A	44.00000001	26	39	25	41.00000001	29	71.00000002	67.99999999	46	67.99999999	30.00000001	60.00000002	36.33333333	31.66666668	61.66666668	52.66666669	-0.198328716	0.763197136	0.535596424
C1_00040W_A	1891.000003	1419.999996	1973.999994	2614.999998	4834.999985	3221.00001	2456.999996	2775.999995	2658.000001	8754.000008	5133.000017	6591.000022	1761.666672	3557.000002	2630.333327	6826.000004	1.01372	0.57830466	1.95409944
C1_00050C_A	1	2	2	2	58.99999999	24	43.00000001	47.00000001	24	8	10	12	1.666666666	28.33333333	37.99999999	10	4.087462841	4.510961919	2.584962501
C1_00060W_A	10859.99998	8465.999981	8858.999989	7444.999982	8721.000019	4894.999985	9127.000025	10503.00002	7229.000024	9749.000019	8221.00001	6579.000012	9395.000024	7020.333345	8952.999994	8183.000019	-0.42035363	-0.06952198	-0.19926331
C1_00070W_A	7453.999981	6595.999984	6591.000022	6334.999982	4831.000009	2929.000004	2282.999993	2653	3865.999994	1802.000005	1429.999998	1193.000002	6880.333353	4698.333344	2934.000009	1475.000001	-0.55032939	-1.22960959	-2.22176351
C1_00080C_A	1327.999999	899.0000003	1167.000003	1137.000001	993.0000003	712.9999998	1358.999999	1609.999997	1284.000003	803.0000003	688.0000001	829.9999999	1131.333334	947.6666667	1417.666668	773.6666669	-0.255572467	0.32549429	-0.548240043
C1_00090W_A	161	97.99999999	133	70	118	46	128	152	77.00000002	46	51	44.00000001	130.6666667	78.00000001	119	47.00000001	-0.744345125	-0.134929581	-1.475158492
C1_00100C_A	1021	1061.999999	1014	1880.999995	1888.000001	1394.000004	1733.999996	2033.999995	1693.000002	1908.000005	1474.000001	1405.000005	1032.333336	1720.999998	1820.333332	1595.666667	0.73733821	0.81829377	0.62825042
C1_00110W_A	6214.000017	6925.999989	6612.000003	9240.000024	9865.00003	5815.000015	15681.99995	18290.99998	11320.00002	7897.999987	7554.000008	6105.999982	6583.999998	8306.666683	15097.66668	7186	0.33530533	1.19728936	0.1262246
C1_00120C_A	1701.999998	1619	1490.000005	2231.000003	1748.999995	1637.999998	1932.999997	2117.999994	2494	1549.000001	1144.000003	1241	1603.666663	1872.666669	2181.666673	1311.333332	0.22371983	0.4440564	-0.29033984
C1_00130C_A	2149.000004	1792.999996	1869.999994	2484.000003	2337.000002	1752.999999	4043.999995	4230.000006	3282.99999	3609.000005	3329.000011	3591.000006	1937.333337	2191.333333	3852.333343	3509.666665	0.17773675	0.99166034	0.85726181
C1_00140W_A	2109.999995	2349.000003	2318.999993	1908.000005	2139.999998	1259.000002	3186.999992	3687.999999	2303.999998	1755.000006	1808.999997	1543.000004	2259.333332	1768.999997	3059.666661	1702.33333	-0.35296309	0.43747735	-0.40838358
C1_00150C_A	955.0000001	966.0000001	933.0000001	1506.999998	1650.000001	977	1576.999995	1755.000006	1091.999999	1432.999996	1366.000002	1219.999998	951.3333335	1377.999997	1474.666667	1339.666665	0.534553051	0.632366051	0.493851241
C1_00160C_A	10990.00003	13871.99997	15434	7870.999975	2401.000003	2303.999998	2420.999993	2607.999992	2899.99999	892.9999999	920	1220.999996	13431.99995	4191.999996	2643.000001	1011.333333	-1.67996351	-2.3454258	-3.731343641
C1_00170W_A	1816.999995	1442.999996	1630.000001	4166.999986	945.9999998	720.9999999	3654.000003	4043.000005	7265.999998	5517.999995	2408.000005	2201.999995	1630.000001	1944.666666	4987.666682	3376.000003	0.25465092	1.61349309	1.05044294
C1_00180W_A	52955.00003	62156.99985	62865.99997	43889.00004	24623.00007	18238	4165.999988	4620.999987	12639.99997	6639.000016	4669.999985	7477.000012	59325.99987	28916.66674	7142.333329	6261.999986	-1.03676325	-3.05419714	-3.2439691
C1_00190C_A	8	6.000000001	4	2	22.00000001	8.999999997	56.99999999	65.99999998	15	5	8.999999997	7	6.000000001	11	46	7	0.874469118	2.938599455	0.222392421
C1_00200C_A	65.99999998	69.00000001	101	53.00000002	90.99999999	66.99999998	439.0000001	387.9999999	245	135	135	156	78.66666669	70.33333333	357.3333334	142	-0.161543861	2.183446141	0.852066571
C1_00210C_A	8997.99999	6563.00001	7175.000018	3819.999992	3208.000008	2832	4634.000004	4960.000016	4920.999996	2505.000003	2728.000002	2767.000003	7578.666674	3286.666665	4838.333331	2666.666659	-1.20531891	-0.64743389	-1.50690656
C1_00220W_A	11536.99997	9815.999975	10026.00001	12283.00002	7667.999991	6710.999992	8895.999983	9478.999982	11195.00002	7435.999975	6390.999991	7691.000014	10459.6667	8887.333306	9856.666651	7172.666662	-0.23501438	-0.08566514	-0.54425539
C1_00230C_A	840.0000002	808.9999998	821.0000001	876.0000002	988.0000003	748.9999998	1242.000002	1335.000003	981.9999998	1492	1165.999997	1184.000004	823.3333335	871.0000002	1186.333336	1280.666664	0.081196083	0.526960894	0.637346474
C1_00270W_A	65	21	35	163	103	92.99999999	20	23	33.99999999	25	57.99999999	47.00000001	40.33333332	119.6666667	25.66666667	43.33333332	1.568976798	-0.652076696	0.103504576
C1_00280C_A	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0
C1_00290W_A	1245.999997	585.9999998	933.0000001	1410.999997	1810.999999	1215.999997	390.0000001	404.0000001	613.9999998	722.0000001	1438	1385.999998	921.6666664	1479.333332	469.3333334	1182	0.682630186	-0.973632146	0.358913056
C1_00310W_A	1220.999996	631.9999999	704.9999999	924.9999997	1662.000004	1130.000002	2636.000009	2606.000003	2672.999996	5375.000002	4365.999985	4634.000004	852.6666666	1238.999998	2638.333325	4791.66665	0.539122422	1.629573082	2.490473782
C1_00320W_A	1109.999999	851.0000002	924.9999997	1120.999998	1010	873.0000002	1783.000003	1809.999998	2125.999998	1456	1236.999996	1385.999998	962.0000002	1001.333333	1906.333334	1359.666666	0.057813512	0.986691606	0.499144206
C1_00330C_A	1394.000004	1418.999996	1442.999996	4130.999986	4754.000007	4332.999996	4578.000008	4822.999984	4483.999991	4779.99999	4052.000003	5185.999997	1418.666672	4406.000001	4628.333346	4672.666672	1.63493384	1.70595712	1.71971047
C1_00340W_A	1195.999997	1545.999996	1574.999996	5624.999996	5387.000001	5666.000014	7099.000007	7656.99999	9231.000006	7585.000026	6297.999991	9114.999994	1439.000003	5559.333325	7995.666649	7665.999985	1.94984529	2.47415173	2.4134074
C1_00350C_A	356	813	603	1298.000002	1724.000001	2000.999997	1780.999999	1780.999999	1962.000005	1816.999995	1810.999999	2512.000002	590.6666667	1674.333335	1841.333329	2046.666667	1.503170672	1.640334712	1.792860052
C1_00360W_A	219.0000001	363	350	806.9999998	931.0000003	731.9999999	2394.999999	2603.999994	1979.999993	1965.000004	1838.999994	1970.999999	310.6666667	823.3333335	2326.33334	1924.999999	1.406109182	2.904618476	2.631419086
C1_00370W_A	262.9999999	220.9999999	259.0000001	319.0000001	320	273	489	483.9999999	491.9999999	244.0000001	221.9999999	267.0000001	247.6666667	303.9999999	488.3333331	244.3333333	0.295671613	0.979466548	-0.019549013
C1_00380C_A	1384.000002	1364.000001	1748.000001	1932.000002	1869.999994	1806.999999	2233.000006	2293.000001	2446.000002	989.0000002	1013	1106	1498.666667	1869.666671	2323.999995	1036.000002	0.31910155	0.63293053	-0.53265553
C1_00390W_A	921.9999997	728.9999998	858.9999999	838.9999997	1320.999999	1047.999999	1401.999996	1508.999999	925.9999998	878.9999999	822.9999998	907.0000003	836.6666666	1069.333336	1279.000001	869.6666666	0.353986782	0.612291402	0.05580958
C1_00400W_A	1741.000003	2069.999997	2158.000001	2253.000003	1825.000002	1832.000002	2431.000003	2557.000008	2605.000005	1888.000001	1410.999997	1912.000003	1989.66667	1969.999994	2530.999996	1737.000002	-0.01433113	0.34718075	-0.195929
C1_00410C_A	541.9999999	831.0000001	837.0000003	780.9999999	958.0000002	880.0000003	1680.000003	1739.999999	2174.000007	990	889.0000001	1192	736.6666669	873.0000002	1864.66667	1023.666667	0.24496969	1.339833886	0.474662143
C1_00420W_A	7218.000011	3096.000008	4307.999986	2855	2462.000006	2399.999999	2047.000004	2024.999996	2115.000003	2180.999993	2052.999997	2135.999998	4874.000014	2572.333334	2062.333336	2123.333339	-0.92202865	-1.24082872	-1.19877538
C1_00430W_A	1021	988.0000003	1100.000001	1127.999998	1390.999996	1091.999999	1765.000002	1907.000002	1544.000003	1337.999999	1064.000003	1432.999996	1036.333333	1203.666663	1738.666662	1278.333332	0.2159478	0.74649325	0.30277596
C1_00440W_A	5737.999989	5057.999994	6214.000017	5944.999981	6797.000012	6622.000021	9614.999985	9800.999999	11996.00003	5983.00001	6729.00002	7165.000004	5670.000001	6454.666675	10470.66666	6625.666672	0.18699386	0.88493266	0.22471689
C1_00450C_A	2297.999996	2471.000008	2656.999995	2061.000001	1384.999999	1485.000004	842	898.0000002	2375.000003	1215.999997	1031.000002	1012	2475.333335	1643.66667	1371.666662	1086.333336	-0.59070506	-0.85169289	-1.18815596
C1_00460W_A	1909.999996	2250.999998	2507.999995	1909.999996	1611.000001	1460.999997	2211	2409.000003	3190.999993	2049.000001	1615.999997	1950.999996	2222.999995	1660.666672	2603.666658	1872.000001	-0.42074542	0.22803681	-0.24792751
C1_00470C_A	1928.000005	1184.000004	1537	964.9999999	541.0000001	552.9999999	1234.000001	1323.000003	1439.000003	1142.000004	1201.000004	1347.999999	1549.666667	686.3333334	1332.000003	1230.333332	-1.174976596	-0.21836384	-0.33290869
C1_00480C_A	2557.000008	3168	3296.999996	3995.000006	3025.000006	2938.999993	2307.000002	2255.999996	2690.000005	2183.999999	1854.000002	2041.999999	3007.333333	3319.666667	2417.666662	2026.66667	0.1425536	-0.31486944	-0.56937596
C1_00490C_A	5267.999999	4146.999995	4729.000012	6181.000001	5283.999995	6634.999999	22183.99998	24121.00002	37240.99994	16905.99995	13386.00001	21749.99999	4714.666671	6033.333349	27848.66675	17347.33339	0.35579952	2.56238058	1.87948623
C1_00500C_A	5194.999986	4427.000006	5073.999986	4668.99999	3893.000002	4823.999994	6881.000008	6918.000008	13717.00001	5292.000014	4092.000001	7411.000001	4898.666665	4462.000005	9172.000003	5598.333316	-0.13469861	0.90484723	0.19260826
C1_00510W_A	1473.000005	1398.000004	1766.999994	1397.000004	1056.999999	1160	768.0000001	829.9999999	1342.000004	281	219.0000001	212.0000001	1545.999996	1204.666667	980	237.3333333	-0.35990631	-0.657686661	-2.70355367
C1_00520W_A	1165.999997	770.0000002	973.0000001	1027.000003	471.9999999	474	956.9999997	948.0000001	1321.999999	894.9999999	757.9999999	745.9999999	969.6666664	657.6666667	1075.666665	799.6666669	-0.56013234	0.14967028	-0.278090138
C1_00530C_A	2095.999998	1039.000001	1620.000003	1331.000004	2107.000002	1301.999997	2488.999991	2689	1701.000005	1675	1862.000003	1766.000003	1585.000005	1579.999997	2293.000001	1767.666664	-0.00455829	0.53275351	0.1573634
C1_00540C_A	505.0000001	621.9999999	609	1662.999996	2527.000002	1898.000004	2510.000002	2763.999999	2062.000004	1823.999995	1578	2029	578.6666668	2029.333329	2445.333328	1810.333337	1.810201408	2.079226688	1.645450918
C1_00550W_A	619.9999999	461.9999999	563.9999998	675.9999999	1100.999997	899.0000003	1531.000003	1627.000005	1230	1780.000005	1585.000005	1772.000002	548.6666668	892	1462.666667	1712.333336	0.70111378	1.41459919	1.64196174
C1_00560W_A	306.9999999	498	506.0000001	1352.999996	1050.999997	1004	1261	1294.999998	1295.999997	574.0000001	563	656.0000002	437.0000002	1136	1284.000003	597.6666666	1.37825765	1.55494002	0.451707802
C1_00570C_A	865.0000003	626	732.9999999	953.0000001	1273.999998	988.0000003	1987.999998	2089.000004	1727.999997	1181	1108.000003	1171.999996	741.3333333	1071.666666	1934.999999	1153.66667	0.531661948	1.384139278	0.638032158
C1_00580W_A	596.9999999	297	503.0000001	220.0000001	439.0000001	380.9999999	742.0000002	773	730.0000001	920.9999999	744.9999998	1151.000001	465.6666668	346.6666666	748.3333334	939.0000002	-0.425748493	0.684383424	1.011827543
C1_00590W_A	9059.999969	16901	17755.99996	12810.00004	10237.99999	8838.999974	7699.000025	8289.000014	10403	3868.999991	3739.999988	3462.999995	14572.33332	10628.99999	8797.00002	3690.666675	-0.45522603	-0.72814838	-1.98127855
C1_00600W_A	1038.000001	1070.999996	1103.000003	1479.999999	1688.000002	1362.000002	3351.999991	3487.999988	2485.999998	1633.000005	1596.000004	1826	1070.666669	1509.999996	3108.666659	1685.000005	0.49603915	1.53778653	0.6542392
C1_00610W_A	5360.000017	3523.000001	4412.999994	2566.999999	3065.000003	2349.000003	3756.000006	4022.999993	3646.999989	4554.000012	4444.999989	4717.000015	4432.000012	2660.333337	3808.666656	4572.000006	-0.73635086	-0.21867186	0.04486752
C1_00620W_A	1131.999998	1022	1158.999999	1258.000003	1662.000004	1264.000002	2547.999996	2629.999992	2341.999999	2862.000006	2513.000007	3023.999991	1104.333335	1394.666671	2506.666674	2799.666662	0.33674465	1.18259446	1.34207936
C1_00630W_A	438.0000001	254	347.0000001	122	151	123	527.9999999	561.0000002	580	281	320	292.9999999	346.3333333	132	556.3333335	297.9999999	-1.391623319	0.683788301	-0.216848918
C1_00640C_A	543.9999999	1795.000002	1739.000003	3727.999988	3487.999988	3181.999999	3722	3864.000003	3006.999995	940.0000003	1173.000002	1187	1359.333334	3466.000002	3531.00001	1100.000001	1.35037238	1.37717755	-0.30539575
C1_00650C_A	1807.999997	1590	1785.000001	1598.999996	1549.000001	1382.999999	2074.000002	2163	2289.000004	1868	1741.000003	1947.999997	1727.666669	1510.333328	2175.333331	1852.333328	-0.19395791	0.33241159	0.10051884
