qname	SC5314	target2
orf19.1891	C2_07400C_A	36982
orf19.3680	C1_02230W_A	39326
orf19.7436	C3_06470W_A	AAF1
orf19.2251	C2_06970W_A	AAH1
orf19.2810	C3_03990C_A	AAP1
orf19.3554	C2_05250C_A	AAT1
orf19.6287	CR_07620W_A	AAT21
orf19.4669	C4_01200C_A	AAT22
orf19.3331	C1_01450W_A	ABC1
orf19.6716	C3_07710W_A	ABD1
orf19.1597	C2_09390W_A	ABG1
orf19.2699	C4_02940W_A	ABP1
orf19.3676	C1_02190W_A	ABP140
orf19.3529	C2_04970W_A	ABP2
orf19.1291	C4_05290W_A	ABZ1
orf19.7043.1	C7_00750W_A	ACB1
orf19.7466	CR_00640W_A	ACC1
orf19.6124	CR_07440W_A	ACE2
orf19.3417	C6_01690W_A	ACF2
orf19.3171	C5_02000C_A	ACH1
orf19.6385	CR_08210C_A	ACO1
orf19.6632	CR_05790C_A	ACO2
orf19.2439	C1_06060C_A	ACP1
orf19.819	C2_04030C_A	ACP12
orf19.1743	C2_10350C_A	ACS1
orf19.1064	C1_04290C_A	ACS2
orf19.5007	C1_13700W_A	ACT1
orf19.2331	C1_10860C_A	ADA2
orf19.868	C2_03520C_A	ADAEC
orf19.7484	CR_00510C_A	ADE1
orf19.4827	C1_09640W_A	ADE12
orf19.3870	CR_06150C_A	ADE13
orf19.492	CR_04090C_A	ADE17
orf19.5906	C3_04520C_A	ADE2
orf19.1233	C1_07710C_A	ADE4
orf19.5061	C1_07890C_A	"ADE5,7"
orf19.6317	CR_04740C_A	ADE6
orf19.5789	C2_03090C_A	ADE8
orf19.3997	C5_05050W_A	ADH1
orf19.5113	C1_08330C_A	ADH2
orf19.4505	C2_04470W_A	ADH3
orf19.271	C3_02800W_A	ADH4
orf19.2608	CR_02070C_A	ADH5
orf19.3391	C6_01910W_A	ADK1
orf19.5591	C6_03080C_A	ADO1
orf19.459	CR_05950C_A	ADP1
orf19.2752	C4_02500C_A	ADR1
orf19.4743	C1_08850C_A	AFG1
orf19.1669	C3_01760W_A	AFG3
orf19.980	C5_00180W_A	AFL1
orf19.5862	C3_04200W_A	AFP99
orf19.2272	C2_07170C_A	AFT2
orf19.935	C5_00540C_A	AGA1
orf19.4966	C1_13400C_A	AGC1
orf19.3050	C1_03480C_A	AGE1
orf19.1396	C2_09580W_A	AGE2
orf19.3683	C1_02260C_A	AGE3
orf19.5013	C1_13760W_A	AGM1
orf19.2903	C4_06340W_A	AGO1
orf19.4679	C4_01100C_A	AGP2
orf19.3795	C4_04840C_A	AGP3
orf19.7602	CR_10270C_A	AHA1
orf19.2762	C4_02410C_A	AHP1
orf19.6470	C7_02390W_A	AHP2
orf19.7381	C3_06000W_A	AHR1
orf19.3362	C4_03350C_A	AIF1
orf19.300	C3_03040W_A	AIP2
orf19.5357	C2_10750C_A	AKL1
orf19.4950	C1_13220C_A	AKR1
orf19.5746	C6_03720W_A	ALA1
orf19.5806	C2_02970C_A	ALD5
orf19.742	C4_05130C_A	ALD6
orf19.4410	C4_06000W_A	ALG1
orf19.3468	C6_02270C_A	ALG11
orf19.1221	C6_04030W_A	ALG2
orf19.2837	CR_02790C_A	ALG5
orf19.1843	CR_06900C_A	ALG6
orf19.2187	C2_07940C_A	ALG7
orf19.1659	C3_01880W_A	ALG8
orf19.4442	C1_07250C_A	ALG9
orf19.1710	C3_01410C_A	ALI1
orf19.7513	CR_00210W_A	ALK2
orf19.6574	C7_01540W_A	ALK6
orf19.10	CR_07130C_A	ALK8
orf19.7551	CR_09790W_A	ALO1
orf19.2337	C1_10800C_A	ALP1
orf19.1607	C3_02370C_A	ALR1
